date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
31/08/2026;San Emeterio;Done Meteri;Ayala - Sojo  ;Aiara - Soxo  ;Álava - Araba;10.0;4.309.073;-3.122.839
18/07/2026;Santa Marina;Dona Marina;Ayala - Zuaza  ;Aiara - Zuhatza  ;Álava - Araba;10.0;43.099.672;-3.049.447
03/02/2026;San Blas;Done Bladi;Alegría-Dulantzi;Alegría-Dulantzi;Álava - Araba;1.0;42.841.035;-2.512.684
17/08/2026;Fiesta local;Tokiko jai-eguna;Amurrio;Amurrio;Álava - Araba;2.0;43.057.875;-2.998.775
10/07/2026;San Cristóbal;Done Kristobal;Añana  ;Añana  ;Álava - Araba;49.0;42.802.352;-2.982.607
06/07/2026;Fiesta local;Tokiko jai-eguna;Aramaio  ;Aramaio  ;Álava - Araba;3.0;43.054;-2.566
15/05/2026;San Isidro Labrador;San Isidro Nekazaria;Armiñón  ;Armiñón  ;Álava - Araba;6.0;42.723.045;-2.872.574
22/06/2026;San Adrián;San Adrian;Arraia-Maeztu  ;Arraia-Maeztu  ;Álava - Araba;37.0;42.739.815;-244.598
28/12/2026;Fiesta local;Tokiko jai-eguna;Arrazua-Ubarrundia  ;Arratzua-Ubarrundia;Álava - Araba;8.0;42.890.278;-2.639.167
08/09/2026;Virgen de la Encina;Arteako Andra Maria;Artziniega  ;Artziniega  ;Álava - Araba;4.0;43.122.201;-3.128.209
29/06/2026;San Pedro;Done Petri;Asparrena  ;Asparrena  ;Álava - Araba;9.0;42.895.667;-2.321
24/06/2026;San Juan;Jon Deuna;Barrundia  ;Barrundia  ;Álava - Araba;13.0;42.916.667;-2.491.667
30/11/2026;2º día de Acción de Gracias;Esker Oneko 2. Eguna;Labastida  ;Bastida;Álava - Araba;28.0;42.590.459;-2.792.991
08/09/2026;Asunción de Nuestra Señora;Jasokundearen eguna;Berantevilla  ;Berantevilla  ;Álava - Araba;14.0;4.268.245;-2.860.401
08/09/2026;Fiesta local;Tokiko jai-eguna;Bernedo  ;Bernedo  ;Álava - Araba;16.0;42.626.684;-2.497.532
15/05/2026;San Isidro;San Isidro;Elvillar;Bilar;Álava - Araba;23.0;42.570.497;-2.544.915
29/06/2026;San Pedro;Done Petri;Elburgo  ;Burgelu;Álava - Araba;21.0;42.849.564;-2.544.762
12/11/2026;San Millán;Done Milian;San Millán;Donemiliaga;Álava - Araba;53.0;42.874.722;-2.376.111
08/09/2026;Virgen de la Plaza;Plazako Andra Maria;Elciego  ;Elciego  ;Álava - Araba;22.0;42.515.073;-2.618.277
31/08/2026;Fiesta local;Tokiko jai-eguna;Ribera Baja  ;Erribera Beitia;Álava - Araba;47.0;42.719.678;-2.907.609
15/05/2026;San Isidro Labrador;San Isidro Nekazaria;Ribera Alta  ;Erribera Goitia;Álava - Araba;46.0;42.807.222;-29.175
15/05/2026;San Torcuato;San Torcuato;Villabuena de Álava  ;Eskuernaga;Álava - Araba;57.0;42.548.717;-2.665.456
15/05/2026;Fiesta local;Tokiko jai-eguna;Valdegovía  ;Gaubea;Álava - Araba;55.0;42.85;-3.1
15/05/2026;San Isidro Labrador;San Isidro Nekazaria;Valle de Arana;Harana;Álava - Araba;56.0;42.752.731;-2.312.303
21/08/2026;Nuestra Señora de Bercijana;Berzijanako Andra Maria;Yécora;Ikeora;Álava - Araba;60.0;42.569.303;-2.470.064
17/08/2026;Fiesta local;Tokiko jai-eguna;Iruña de Oca - Nanclares de la Oca;Iruña Oka - Langraiz Oka;Álava - Araba;901.0;42.817.197;-2.811.518
24/06/2026;San Juan;Jon Deuna;Iruraiz-Gauna  ;Iruraiz-Gauna  ;Álava - Araba;27.0;42.822.072;-2.495.043
15/05/2026;San Isidro;San Isidro;Campezo  ;Kanpezu;Álava - Araba;17.0;42.691.944;-2.37
08/09/2026;Día de la Virgen;Andra Maria;Cripan;Kripan  ;Álava - Araba;19.0;42.591.666;-2.516.079
24/06/2026;Fiesta local;Tokiko jai-eguna;Kuartango  ;Kuartango  ;Álava - Araba;20.0;42.871.389;-2.885.556
24/08/2026;San Bartolomé;Done Bartolome;Lagrán  ;Lagrán  ;Álava - Araba;30.0;42.626.395;-258.382
24/06/2026;Fiesta local;Tokiko jai-eguna;Laguardia  ;Laguardia  ;Álava - Araba;31.0;42.554.278;-2.584.237
16/09/2026;Fiesta Local de Lantarón;Lantarongo Jaieguna;Lantarón  ;Lantarón  ;Álava - Araba;902.0;42.756.673;-2.987.556
08/09/2026;La Virgen del Campo;Landako Andra Maria;Lanciego  ;Lantziego  ;Álava - Araba;32.0;42.562.619;-2.513.204
24/08/2026;Fiesta local;Tokiko jai-eguna;Lapuebla de Labarca  ;Lapuebla de Labarca  ;Álava - Araba;33.0;42.493.969;-2.573.024
17/08/2026;Fiesta local;Tokiko jai-eguna;Llodio  ;Laudio;Álava - Araba;36.0;43.143.333;-2.962.985
14/09/2026;Fiesta local;Tokiko jai-eguna;Legutio;Legutio;Álava - Araba;58.0;42.977.822;-2.642.724
17/08/2026;San Roque;San Roke;Leza  ;Leza  ;Álava - Araba;34.0;42.566.068;-2.633.635
10/07/2026;San Cristóbal;Done Kristobal;Baños de Ebro  ;Mañueta;Álava - Araba;11.0;4.253.029;-2.679.144
22/10/2026;Las Virgenillas;Las Virgenillas;Moreda de Álava;Moreda Araba;Álava - Araba;39.0;42.528.016;-240.767
02/06/2026;San Juan de Ortega;Ortegako Jon Deuna;Navaridas  ;Nabaridas  ;Álava - Araba;41.0;42.545.171;-2.624.532
24/08/2026;San Bartolomé;Done Bartolome;Okondo  ;Okondo  ;Álava - Araba;42.0;43.162.222;-3.018.889
22/01/2026;San Vicente y San Anastasio;Bikendi eta Anastasi Santuak;Oyón-Oion;Oyón-Oion;Álava - Araba;43.0;42.506.137;-2.436.965
15/05/2026;San Isidro Labrador;San Isidro Nekazaria;Peñacerrada-Urizaharra;Peñacerrada-Urizaharra;Álava - Araba;44.0;42.644.095;-2.713.374
08/09/2026;Nuestra Señora Virgen del Valle;Haranako Andra Maria;Samaniego  ;Samaniego  ;Álava - Araba;52.0;42.569.832;-2.680.185
05/10/2026;Fiesta local;Tokiko jai-eguna;Urkabustaiz  ;Urkabustaiz  ;Álava - Araba;54.0;42.971.944;-2.922.222
05/08/2026;Virgen Blanca;Andre Maria Zuria;Vitoria-Gasteiz  ;Vitoria-Gasteiz  ;Álava - Araba;59.0;42.846.406;-2.667.893
13/06/2026;Fiestas de Zalduondo;Zalduondoko Jaiak;Zalduondo  ;Zalduondo  ;Álava - Araba;61.0;42.885.626;-2.347.254
05/08/2026;Fiesta local;Tokiko jai-eguna;Zambrana  ;Zambrana  ;Álava - Araba;62.0;42.659.981;-2.879.353
05/08/2026;Fiesta local;Tokiko jai-eguna;Zigoitia  ;Zigoitia  ;Álava - Araba;18.0;429.682;-27.183
29/09/2026;San Miguel;San Miguel;Zuia  ;Zuia  ;Álava - Araba;63.0;42.981.667;-2.844
