date;descripcionEs;descriptionEu;municipalityEs;MunicipalityEu;territory;municipalitycode;latwgs84;lonwgs84
26/10/2026;Último Lunes de Octubre;Urriko Azken Astelehena;Muxika;Muxika;Bizkaia;67.0;43.289.668;-2.692.941
08/09/2026;Andra Mari;Andra Mari;Nabarniz;Nabarniz;Bizkaia;909.0;43.321.597;-25.844
17/08/2026;Andra Mari;Andra Mari;Ondarroa;Ondarroa;Bizkaia;73.0;43.320.698;-2.420.475
02/09/2026;San Antolín;San Antolin Eguna;Orozko;Orozko;Bizkaia;75.0;43.108.611;-2.911.111
18/05/2026;San Félix de Cantalicio;San Félix de Cantalicio Eguna;Ortuella;Ortuella;Bizkaia;83.0;4.331.137;-3.055.952
20/07/2026;Santa Marina;Santa Marina;Otxandio  ;Otxandio  ;Bizkaia;72.0;43.040.447;-2.654.584
22/07/2026;Festividad de la Magdalena;Magdalena Jaiak;Plentzia  ;Plentzia  ;Bizkaia;77.0;4.340.443;-2.950.102
01/07/2026;Virgen de la Guía;Virgen de la Guía;Portugalete  ;Portugalete  ;Bizkaia;78.0;43.320.664;-3.020.252
16/07/2026;Virgen del Carmen;Karmengo Amaren Eguna;Santurtzi  ;Santurtzi  ;Bizkaia;82.0;43.328.711;-3.031.772
29/06/2026;San Pedro Apóstol;San Pedro;Sestao  ;Sestao  ;Bizkaia;84.0;43.309.635;-300.694
24/06/2026;San Juan;San Juan Eguna;Sondika  ;Sondika  ;Bizkaia;904.0;43.300.063;-2.927.103
29/06/2026;San Pedro;San Pedro;Sopelana  ;Sopelana  ;Bizkaia;85.0;43.378.918;-2.983.002
08/09/2026;Natividad de Nuestra Señora;Andra Mari;Sopuerta  ;Sopuerta  ;Bizkaia;86.0;43.262.778;-31.525
30/11/2026;San Andrés;San Andres eguna;Sukarrieta  ;Sukarrieta  ;Bizkaia;76.0;43.395.342;-2.696.367
29/06/2026;San Pedro;San Pedro;Trucios-Turtzioz  ;Trucios-Turtzioz  ;Bizkaia;87.0;43.272.678;-3.288.545
24/06/2026;San Juan;San Juan;Ubide  ;Ubide  ;Bizkaia;88.0;43.026.832;-2.688.209
08/09/2026;Señora la Virgen de Udiarraga;Udiarraga Andra Mari;Ugao-Miraballes  ;Ugao-Miraballes  ;Bizkaia;65.0;43.179.989;-2.902.508
08/09/2026;Fiesta local;Tokiko jai-eguna;Urduliz  ;Urduliz  ;Bizkaia;89.0;43.379.667;-2.962
